bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"9.7 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,iPod Docking Station,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Sunnyvale, CA",2014 Laprichon 32bh,"$5,199",$197,"$1,285","Year - 2014,Manufacturer - Coachmen RV,Make - Leprechaun,Model - 320BH Ford 450,Class - Class C Motor Home,Sleeps - 10,Total Number of Beds - 6,Slides - 2,Length - 32.0 ft,Height - 13.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply,In Dash Air Conditioning",Class C Motor Home,2014
"Bathroom Sink,Shower,Toilet",Standard,"5.6 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",35.0ft,"San Jose, CA",Thor Hurricane 34B with Bunk House!,"$7,400",$300,"$1,900","Year - 2011,Manufacturer - Thor Motor Coach,Make - Four Winds,Model - 34B,Class - Class A Motor Home,Sleeps - 8,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 3,Length - 35.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2011
"Shower,Toilet,Bathroom Sink",Strict,"17.3 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",36ft,"Morgan Hill, CA",2020 Thor Motor Coach,"$3,500",$340,"$2,100","Year - 2020,Manufacturer - Thor,Make - Motor Coach Hurricane 35M,Class - Class A Motor Home,Sleeps - 4,Fresh water tank - 50.0 gal,Length - 36.0 ft",4,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"8.0 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",25.0ft,"Sunnyvale, CA",2015 Winnebago Navion Itasca,"$6,500",$275,"$1,625","Year - 2015,Manufacturer - Itasca,Make - Navion,Model - 24G,Class - Class C Motor Home,Sleeps - 4,Total Number of Beds - 2,Slides - 2,Fresh water tank - 32.0 gal,Length - 25.0 ft,Height - 11.0 ft",4,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Shower,Toilet,Bathroom Sink",Strict,"4.6 miles from San Jose, CA","DVD Player,TV,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",33.0ft,"San Jose, CA",2012 Itasca M-32K Class A Dual Slide-Out,"$7,200",$289,"$1,900","Year - 2012,Manufacturer - Itasca,Make - Sunstar,Model - 32K,Class - Class A Motor Home,Sleeps - 8,Total Number of Beds - 6,Number of Bunk Beds - 1,Slides - 2,Fresh water tank - 80.0 gal,Length - 33.0 ft,Height - 12.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2012
"Shower,Toilet,Bathroom Sink",Flexible,"5.6 miles from San Jose, CA","AM/FM Radio,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",21.0ft,"Santa Clara, CA",2020 Thor Sequence 20l AdventureVan,,$240,,"Year - 2020,Manufacturer - Thor,Make - Sequence,Model - 20l,Class - Class B Camping Van,Sleeps - 2,Total Number of Beds - 2,Fresh water tank - 26.0 gal,Length - 21.0 ft,Height - 9.5 ft",2,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2020
"Shower,Toilet",Strict,"18.3 miles from San Jose, CA","DVD Player,CD Player,AM/FM Radio","Microwave,Refrigerator,Range (Stove),Kitchen Sink",21.0ft,"Morgan Hill, CA",2016 Forest River Evo - With Optional To...,"$1,999",$95,$565,"Year - 2016,Manufacturer - Forest River RV,Make - EVO,Model - T1850,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Length - 21.0 ft,Height - 10.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2016
,Strict,"17.3 miles from San Jose, CA",,,32ft,"Morgan Hill, CA",Winter Specials Available Now!,,$170,,"Year - 2020,Manufacturer - Winnebago,Make - Minnie Winnie 31H (C7386),Class - Class C Motor Home,Sleeps - 8,Length - 32.0 ft",8,,Class C Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,28ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds26B (C38...,,$160,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Chateau 26B (C3874),Class - Class C Motor Home,Sleeps - 6,Length - 28.0 ft",6,,Class C Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,26ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds 24F,,$140,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 24F,Class - Class C Motor Home,Sleeps - 5,Length - 26.0 ft",5,,Class C Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,26ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds (24F),,$165,,"Year - 2020,Manufacturer - Four Winds,Make - 24F,Class - Class C Motor Home,Sleeps - 5,Length - 26.0 ft",5,,Class C Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,26ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds 22E (C3...,,$135,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 22E (C3849),Class - Class C Motor Home,Sleeps - 5,Length - 26.0 ft",5,,Class C Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,36ft,"Morgan Hill, CA",2020 Thor Motor Coach Hurricane 35M (A00...,,$275,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Hurricane 35M (A0047),Class - Class A Motor Home,Sleeps - 6,Length - 36.0 ft",6,,Class A Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,34ft,"Morgan Hill, CA",2020 A.C.E. 32.2 (A0046),,$190,,"Year - 2020,Manufacturer - A.C.E.,Make - 32.2 (A0046),Class - Class A Motor Home,Sleeps - 6,Length - 34.0 ft",6,,Class A Motor Home,2020
"Shower,Toilet",Standard,"13.2 miles from San Jose, CA","AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",20.0ft,"Los Gatos, CA",2017 SONOMA 167BH,"$2,500",$109,$650,"Year - 2017,Manufacturer - Forest River RV,Make - Sonoma,Model - 167BH,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 4,Fresh water tank - 22.0 gal,Length - 20.0 ft,Height - 10.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply,In Dash Air Conditioning",Travel Trailer,2017
,Strict,"17.3 miles from San Jose, CA",,,29ft,"Morgan Hill, CA",Winter Specials Available Now!,,$155,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 27R (C9050),Class - Class C Motor Home,Sleeps - 6,Length - 29.0 ft",6,,Class C Motor Home,2020
"Bathroom Sink,Toilet,Shower",Standard,"9.0 miles from San Jose, CA","DVD Player,AM/FM Radio,CD Player,iPod Docking Station,TV","Slide Out,Range (Stove),Microwave,Kitchen Sink,Refrigerator",27.0ft,"Sunnyvale, CA",2014 Keystone Outback,"$3,100",$125,$800,"Year - 2014,Manufacturer - Keystone RV,Make - Outback Terrain Ultra Lite,Model - 230TRS,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 30.0 gal,Length - 27.0 ft,Height - 10.0 ft",6,"Hot & Cold Water Supply,Roof Air Conditioning",Travel Trailer,2014
"Shower,Toilet",Standard,"5.5 miles from San Jose, CA","AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",21.0ft,"San Jose, CA",2018 Jayco Jay Flight 174BH,,$99,,"Year - 2018,Manufacturer - Jayco,Make - Jay Flight SLX,Model - 174BH,Class - Travel Trailer,Sleeps - 4,Number of Bunk Beds - 2,Length - 21.0 ft,Height - 9.0 ft",4,"In Dash Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Bathroom Sink,Toilet",Standard,"7.5 miles from San Jose, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",33.0ft,"Saratoga, CA",2018 Forest River RV FR3 32DS,"$7,115",$279,"$1,758","Year - 2018,Manufacturer - Forest River RV,Make - FR3,Model - 32DS,Class - Class A Motor Home,Sleeps - 8,Total Number of Beds - 8,Number of Bunk Beds - 2,Slides - 2,Fresh water tank - 50.0 gal,Length - 33.0 ft,Height - 146.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2018
"Shower,Toilet",Standard,"9.8 miles from San Jose, CA",,"Refrigerator,Kitchen Sink,Microwave,Range (Stove)",21.0ft,"Sunnyvale, CA",2018 Coachmen RV Clipper Ultra-Lite 17BH,"$3,000",$150,$900,"Year - 2018,Manufacturer - Coachmen RV,Make - Clipper Ultra-Lite,Model - 17BH,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 3,Number of Bunk Beds - 2,Length - 21.0 ft,Height - 9.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"8.4 miles from San Jose, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",35.0ft,"San Jose, CA",2015 Allegro Open Road Bunkhouse,"$7,896",$369,"$2,073","Year - 2015,Manufacturer - Tiffin Motorhomes,Make - Allegro,Model - 35 QBA,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 2,Number of Bunk Beds - 2,Slides - 4,Fresh water tank - 80.0 gal,Length - 35.0 ft,Height - 13.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2015
"Shower,Bathroom Sink,Toilet",Standard,"18.6 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",22.0ft,"Union City, CA",2020 Forest River RV Rockwood Mini Lite ...,"$4,080",$160,"$1,008","Year - 2020,Manufacturer - Forest River RV,Make - Rockwood Mini Lite,Model - 2204S,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 3,Slides - 1,Length - 22.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Standard,"0.0 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Range (Stove),Microwave,Slide Out",30.0ft,"San Jose, CA",2019 Grand Design Imagine 2800BH,"$5,000",$185,"$1,295","Year - 2019,Manufacturer - Grand Design,Make - Imagine,Model - 2800BH,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Slides - 1,Fresh water tank - 52.0 gal,Length - 30.0 ft,Height - 11.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,25ft,"Morgan Hill, CA",Winter Specials Available Now!,,$135,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 22E (C7052),Class - Class C Motor Home,Sleeps - 5,Length - 25.0 ft",5,,Class C Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"19.4 miles from San Jose, CA","AM/FM Radio,iPod Docking Station,TV,CD Player","Refrigerator,Kitchen Sink,Microwave",26.0ft,"Redwood City, CA",2017 Jayco Jay feather,"$3,000",$155,$800,"Year - 2017,Manufacturer - Jayco,Make - Jay Feather,Model - 23BHM,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 3,Fresh water tank - 26.0 gal,Length - 26.0 ft,Height - 10.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
,Strict,"17.3 miles from San Jose, CA",,,31ft,"Morgan Hill, CA",Thor ACE 30.2 (A9987),"$5,355",$225,"$1,435","Year - 2020,Manufacturer - Thor Motor Coach,Make - ACE 30.2,Class - Class A Motor Home,Sleeps - 6,Length - 31.0 ft",6,,Class A Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,31ft,"Morgan Hill, CA",Thor ACE 30.2 (A9978),"$5,355",$225,"$1,435","Year - 2020,Manufacturer - Thor Motor Coach,Make - ACE 30.2,Class - Class A Motor Home,Sleeps - 6,Length - 31.0 ft",6,,Class A Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,29ft,"Morgan Hill, CA",Winter specials available now!!,,$195,"$1,330","Year - 2020,Class - Class A Motor Home,Sleeps - 6,Length - 29.0 ft",6,,Class A Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,25ft,"Morgan Hill, CA",2020 Coachmen Prism 2200FS (B1084),,$165,"$1,120","Year - 2020,Manufacturer - Coachmen,Make - Prism 2200FS (B1084),Class - Class B Camping Van,Sleeps - 5,Length - 25.0 ft",5,,Class B Camping Van,2020
,Standard,"5.7 miles from San Jose, CA",,"Refrigerator,Kitchen Sink,Range (Stove)",13.0ft,"Santa Clara, CA","Penny Trailers 2019 Scamp 13’ Sleeps 4, ...","$3,350",$130,$780,"Year - 2019,Manufacturer - Unknown,Make - Big Bite,Model - 8X12 V-Front,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 3,Number of Bunk Beds - 2,Fresh water tank - 1.0 gal,Length - 13.0 ft",4,Roof Air Conditioning,Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,27.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$120,$700,"Year - 2019,Manufacturer - Coachmen RV,Make - Catalina SBX,Model - 241RLS,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 3,Slides - 1,Length - 27.0 ft",5,,Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,20.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$100,,"Year - 2019,Manufacturer - Winnebago Industries Towables,Make - Micro Minnie,Model - 1700BH,Class - Travel Trailer,Sleeps - 6,Number of Bunk Beds - 2,Fresh water tank - 31.0 gal,Length - 20.0 ft,Height - 10.0 ft",6,,Travel Trailer,2019
Shower,Standard,"12.1 miles from San Jose, CA",,"Refrigerator,Kitchen Sink,Microwave,Range (Stove)",18.0ft,"Fremont, CA",2013 A-liner Expedition (Drop-in / Drop-...,"$2,300",$99,$590,"Year - 2013,Manufacturer - ALiner,Make - Expedition,Model - FDRS,Class - Pop-up Camper,Sleeps - 4,Total Number of Beds - 2,Fresh water tank - 11.0 gal,Length - 18.0 ft,Height - 5.0 ft",4,"In Dash Air Conditioning,Hot & Cold Water Supply",Pop-up Camper,2013
"Shower,Toilet,Bathroom Sink",Standard,"35.9 miles from San Jose, CA","TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",32.0ft,"San Bruno, CA","Well Appointed, Home Away from Home","$6,885",$280,"$1,701","Year - 2018,Manufacturer - Thor Motor Coach,Make - Windsport,Model - 31Z,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 2,Length - 32.0 ft,Height - 12.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2018
,Strict,"17.3 miles from San Jose, CA",,,27.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$125,$700,"Year - 2020,Manufacturer - Winnebago,Make - Minnie Winnie,Model - 2500RL,Class - Travel Trailer,Sleeps - 4,Length - 27.0 ft",4,,Travel Trailer,2020
"Bathroom Sink,Shower,Toilet",Strict,"17.3 miles from San Jose, CA","TV,CD Player,AM/FM Radio","Microwave,Slide Out,Range (Stove),Refrigerator,Kitchen Sink",27.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$120,,"Year - 2020,Manufacturer - Winnebago Industries Towables,Make - Minnie,Model - 2500 RL,Class - Travel Trailer,Sleeps - 8,Slides - 1,Fresh water tank - 37.0 gal,Length - 27.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
,Standard,"4.9 miles from San Jose, CA",,,30.0ft,"San Jose, CA",2016 Thor Motor Coach Four Winds 23A,"$5,585",$219,"$1,380","Year - 2016,Manufacturer - Thor Motor Coach,Make - Four Winds,Model - 23A,Class - Class C Motor Home,Sleeps - 7,Length - 30.0 ft",7,,Class C Motor Home,2016
"Shower,Toilet,Bathroom Sink",Standard,"6.2 miles from San Jose, CA","TV,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",29.0ft,"San Jose, CA",Peter and Maries's Family Vacation RV - ...,"$4,500",$200,"$1,250","Year - 2014,Manufacturer - Thor Motor Coach,Make - Four Winds,Model - 28F,Class - Class C Motor Home,Sleeps - 7,Total Number of Beds - 4,Fresh water tank - 40.0 gal,Length - 29.0 ft,Height - 11.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2014
"Shower,Toilet,Bathroom Sink",Standard,"18.7 miles from San Jose, CA","DVD Player,AM/FM Radio,CD Player,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",24.0ft,"Fremont, CA",Siesta Pet Friendly Class C Pleasure RV,"$4,400",$160,"$1,100","Year - 2014,Manufacturer - Thor Motor Coach,Make - Four Winds,Model - 24C,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 28.0 gal,Length - 24.0 ft,Height - 10.5 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2014
"Shower,Toilet,Bathroom Sink",Standard,"16.0 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",26.0ft,"Los Gatos, CA",No-Tow Airstream Experience!,"$5,100",$220,"$1,400","Year - 2005,Manufacturer - Airstream RV,Make - Safari,Model - 25ft SS SE LS,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 3,Fresh water tank - 39.0 gal,Length - 26.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2005
"Shower,Toilet,Bathroom Sink",Standard,"16.9 miles from San Jose, CA","AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",25.0ft,"Fremont, CA",2014 Thor Motor Coach Majestic 23A,"$3,825",$150,$945,"Year - 2014,Manufacturer - Thor Motor Coach,Make - Majestic,Model - 23A,Class - Class C Motor Home,Sleeps - 6,Length - 25.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2014
"Shower,Toilet",Strict,"19.8 miles from San Jose, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink",16.0ft,"Scotts Valley, CA",“Moonwalk” 16' Airstream with Solar -Rea...,"$3,880",$180,"$1,150","Year - 2014,Manufacturer - Airstream RV,Make - Sport,Model - 16,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Fresh water tank - 21.0 gal,Length - 16.0 ft,Height - 9.0 ft",4,Roof Air Conditioning,Travel Trailer,2014
"Bathroom Sink,Shower",Strict,"17.3 miles from San Jose, CA",TV,"Kitchen Sink,Refrigerator,Range (Stove),Microwave",32ft,"Morgan Hill, CA",Winter Specials Available Now!,,$180,,"Year - 2020,Manufacturer - Thor,Make - Motor Coach Four Winds 31E (C1908),Class - Class C Motor Home,Sleeps - 8,Fresh water tank - 40.0 gal,Length - 32.0 ft",8,,Class C Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"18.6 miles from San Jose, CA","iPod Docking Station,TV,AM/FM Radio,DVD Player,CD Player","Slide Out,Microwave,Kitchen Sink,Refrigerator,Range (Stove)",20.0ft,"Morgan Hill, CA","Winnebago Minnie Drop - only 2,900 lbs!","$2,800",$119,$700,"Year - 2018,Manufacturer - Winnebago Industries Towables,Make - Minnie Drop,Model - 190RD,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Fresh water tank - 31.0 gal,Length - 20.0 ft,Height - 10.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Strict,"9.6 miles from San Jose, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",22.0ft,"Monte Sereno, CA",Travel in style and luxury,,$465,"$3,255","Year - 2013,Manufacturer - Roadtrek,Make - Roadtrek,Model - RS-Adventurous,Class - Class B Camping Van,Sleeps - 4,Length - 22.0 ft,Height - 9.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2013
"Shower,Toilet,Bathroom Sink",Standard,"9.4 miles from San Jose, CA","AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave",19.0ft,"Sunnyvale, CA",2010 Majestic 19g,"$4,794",$188,"$1,184","Year - 2010,Manufacturer - Four Winds RV,Make - Four Winds,Model - 19G,Class - Class C Motor Home,Sleeps - 3,Total Number of Beds - 2,Fresh water tank - 20.0 gal,Length - 19.0 ft,Height - 10.0 ft",3,"Roof Air Conditioning,Hot & Cold Water Supply,In Dash Air Conditioning",Class C Motor Home,2010
"Bathroom Sink,Shower,Toilet",Standard,"3.6 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",31.0ft,"Santa Clara, CA",Family Friendly Ultralight Memory Making...,,$140,,"Year - 2017,Manufacturer - Keystone RV,Make - Bullet,Model - 277BHSWE,Class - Travel Trailer,Sleeps - 9,Total Number of Beds - 3,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 42.0 gal,Length - 31.0 ft,Height - 10.0 ft",9,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
Shower,Standard,"6.9 miles from San Jose, CA","TV,AM/FM Radio,DVD Player","Kitchen Sink,Refrigerator,Microwave",12.0ft,"San Jose, CA",2020 Forest River RV Rockwood Geo Pro 12...,"$1,500",$70,$440,"Year - 2020,Manufacturer - Forest River RV,Make - Rockwood Geo Pro,Model - 12SRK,Class - Travel Trailer,Sleeps - 2,Total Number of Beds - 1,Fresh water tank - 20.0 gal,Length - 12.0 ft",2,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Strict,"9.5 miles from San Jose, CA",TV,"Range (Stove),Refrigerator,Kitchen Sink,Microwave",19.0ft,"San Jose, CA",2015 Retro 181B Bunk bed,"$3,300",$139,$800,"Year - 2015,Manufacturer - Riverside RV,Make - White Water,Model - 181 Retro,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 3,Number of Bunk Beds - 2,Length - 19.0 ft",4,Roof Air Conditioning,Travel Trailer,2015
"Shower,Toilet,Bathroom Sink",Strict,"11.5 miles from San Jose, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink,Slide Out",35ft,"Coyote, CA",2009 Coachmen Mirada,"$9,155",$359,"$2,360","Year - 2009,Manufacturer - Coachmen,Make - Mirada,Class - Class A Motor Home,Sleeps - 8,Length - 35.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2009
,Strict,"17.3 miles from San Jose, CA",,,21ft,"Morgan Hill, CA",2019 Winnebago Micro Minnie 1700BH (T421...,"$2,295",$90,$595,"Year - 2019,Manufacturer - Winnebago,Make - Micro Minnie 1700BH (T4217),Class - Travel Trailer,Sleeps - 5,Length - 21.0 ft",5,,Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,20.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$70,,"Year - 2019,Manufacturer - Winnebago Industries Towables,Make - Winnebago,Model - Minnie Drop 170S,Class - Travel Trailer,Sleeps - 4,Length - 20.0 ft",4,,Travel Trailer,2019
"Shower,Toilet,Bathroom Sink",Strict,"17.3 miles from San Jose, CA","CD Player,TV,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",27.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$120,,"Year - 2019,Manufacturer - Winnebago Industries Towables,Make - Minnie,Model - 2500RL,Class - Travel Trailer,Sleeps - 5,Slides - 1,Length - 27.0 ft,Height - 10.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,24.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$105,$700,"Year - 2019,Manufacturer - Winnebago,Make - Minnie Winnie,Model - 22M,Class - Travel Trailer,Sleeps - 5,Number of Bunk Beds - 1,Slides - 1,Length - 24.0 ft,Height - 11.0 ft",5,,Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,33ft,"Morgan Hill, CA",Winter Specials Available Now!,"$3,060",$120,$805,"Year - 2019,Manufacturer - Coachmen,Make - Catalina SBX 291BHS (T2958),Class - Travel Trailer,Sleeps - 8,Length - 33.0 ft",8,,Travel Trailer,2019
,Strict,"17.3 miles from San Jose, CA",,,25ft,"Morgan Hill, CA",2019 Coachmen Prism 2150CB,,$165,"$1,120","Year - 2019,Manufacturer - Coachmen,Make - Prism 2150CB,Class - Class B Camping Van,Sleeps - 5,Length - 25.0 ft",5,,Class B Camping Van,2019
"Shower,Toilet,Bathroom Sink",Standard,"3.0 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink",24.0ft,"San Jose, CA",BIG BIRD,"$2,500",$120,$650,"Year - 2016,Manufacturer - Jayco,Make - Jay Feather 7,Model - 20XTG,Class - Pop-up Camper,Sleeps - 6,Total Number of Beds - 5,Length - 24.0 ft,Height - 10.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Pop-up Camper,2016
"Shower,Toilet,Bathroom Sink",Standard,"26.3 miles from San Jose, CA","TV,AM/FM Radio,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",30.0ft,"San Mateo, CA",2018 Winnebago Intent (PartyRV),"$4,400",$190,"$1,225","Year - 2018,Manufacturer - Winnebago,Make - Intent,Model - 30R,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 4,Slides - 2,Length - 30.0 ft,Height - 12.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2018
,Strict,"17.3 miles from San Jose, CA",,,29ft,"Morgan Hill, CA",Winter specials available now!!,,$225,"$1,330","Year - 2020,Class - Class A Motor Home,Sleeps - 6,Length - 29.0 ft",6,,Class A Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,25ft,"Morgan Hill, CA",ACE,"$6,350",$249,"$1,569","Year - 2020,Manufacturer - Coachmen,Make - Prism 2200FS,Class - Class A Motor Home,Sleeps - 5,Length - 25.0 ft",5,,Class A Motor Home,2020
,Strict,"17.3 miles from San Jose, CA",,,26ft,"Morgan Hill, CA",2020 Thor Motor Coach Four Winds 24F (C7...,,$165,,"Year - 2020,Manufacturer - Thor Motor Coach,Make - Four Winds 24F (C7091),Class - Class C Motor Home,Sleeps - 5,Length - 26.0 ft",5,,Class C Motor Home,2020
